revenue_schedule_id,contract_id,invoice_id,customer_id,revenue_month,performance_obligation,recognition_method,recognized_revenue,deferred_revenue_amount,currency,legal_entity,gl_revenue_account,recognition_status
REV-000001,CTR-00003,INV-000001,CUST-0002,2025-10,subscription,ratable,2875.0,5750.0,USD,Acme US Inc,4000-Subscription-Rev,recognized
REV-000002,CTR-00003,INV-000001,CUST-0002,2025-11,subscription,ratable,2875.0,2875.0,USD,Acme US Inc,4000-Subscription-Rev,recognized
REV-000003,CTR-00003,INV-000001,CUST-0002,2025-12,subscription,ratable,2875.0,0.0,USD,Acme US Inc,4000-Subscription-Rev,recognized
REV-000004,CTR-00003,INV-000001,CUST-0002,2025-09,subscription,ratable,2875.0,0.0,USD,Acme US Inc,4000-Subscription-Rev,recognized
REV-000005,CTR-00003,INV-000002,CUST-0002,2026-01,subscription,ratable,2300.0,4600.0,USD,Acme US Inc,4000-Subscription-Rev,recognized
REV-000006,CTR-00003,INV-000002,CUST-0002,2026-02,subscription,ratable,2300.0,2300.0,USD,Acme US Inc,4000-Subscription-Rev,recognized
REV-000007,CTR-00003,INV-000002,CUST-0002,2026-03,subscription,ratable,2300.0,0.0,USD,Acme US Inc,4000-Subscription-Rev,recognized
REV-000008,CTR-00003,INV-000003,CUST-0002,2026-04,subscription,ratable,2300.0,4600.0,USD,Acme US Inc,4000-Subscription-Rev,recognized
REV-000009,CTR-00003,INV-000003,CUST-0002,2026-05,subscription,ratable,2300.0,2300.0,USD,Acme US Inc,4000-Subscription-Rev,recognized
REV-000010,CTR-00003,INV-000003,CUST-0002,2026-06,subscription,ratable,2300.0,0.0,USD,Acme US Inc,4000-Subscription-Rev,scheduled
REV-000011,CTR-00004,INV-000004,CUST-0002,2025-07,subscription,ratable,2508.33,0.0,USD,Acme US Inc,4000-Subscription-Rev,recognized
REV-000012,CTR-00004,INV-000005,CUST-0002,2025-08,subscription,ratable,2508.33,0.0,USD,Acme US Inc,4000-Subscription-Rev,recognized
REV-000013,CTR-00004,INV-000006,CUST-0002,2025-09,subscription,ratable,2508.33,0.0,USD,Acme US Inc,4000-Subscription-Rev,recognized
REV-000014,CTR-00004,INV-000007,CUST-0002,2025-10,subscription,ratable,2508.33,0.0,USD,Acme US Inc,4000-Subscription-Rev,recognized
REV-000015,CTR-00004,INV-000008,CUST-0002,2025-11,subscription,ratable,2508.33,0.0,EUR,Acme US Inc,4000-Subscription-Rev,recognized
REV-000016,CTR-00004,INV-000009,CUST-0002,2026-01,subscription,ratable,2508.33,0.0,USD,Acme US Inc,4000-Subscription-Rev,recognized
REV-000017,CTR-00004,INV-000010,CUST-0002,2026-02,subscription,ratable,2508.33,0.0,USD,Acme US Inc,4000-Subscription-Rev,recognized
REV-000018,CTR-00004,INV-000011,CUST-0002,2026-03,subscription,ratable,2508.33,0.0,USD,Acme US Inc,4000-Subscription-Rev,recognized
REV-000019,CTR-00004,INV-000012,CUST-0002,2026-04,subscription,ratable,2508.33,0.0,USD,Acme US Inc,4000-Subscription-Rev,recognized
REV-000020,CTR-00004,INV-000013,CUST-0002,2026-05,subscription,ratable,2508.33,0.0,USD,Acme US Inc,4000-Subscription-Rev,recognized
REV-000021,CTR-00005,INV-000014,CUST-0003,2025-12,subscription,ratable,632.72,6959.87,EUR,Acme EU GmbH,4000-Subscription-Rev,recognized
REV-000022,CTR-00005,INV-000014,CUST-0003,2026-01,subscription,ratable,632.72,6327.15,EUR,Acme EU GmbH,4000-Subscription-Rev,recognized
REV-000023,CTR-00005,INV-000014,CUST-0003,2026-02,subscription,ratable,632.72,5694.43,EUR,Acme EU GmbH,4000-Subscription-Rev,recognized
REV-000024,CTR-00005,INV-000014,CUST-0003,2026-03,subscription,ratable,632.72,5061.71,EUR,Acme EU GmbH,4000-Subscription-Rev,recognized
REV-000025,CTR-00005,INV-000014,CUST-0003,2026-04,subscription,ratable,632.72,4428.99,EUR,Acme EU GmbH,4000-Subscription-Rev,recognized
REV-000026,CTR-00005,INV-000014,CUST-0003,2026-05,subscription,ratable,632.72,3796.27,EUR,Acme EU GmbH,4000-Subscription-Rev,recognized
REV-000027,CTR-00005,INV-000014,CUST-0003,2026-06,subscription,ratable,632.72,3163.55,EUR,Acme EU GmbH,4000-Subscription-Rev,scheduled
REV-000028,CTR-00005,INV-000014,CUST-0003,2026-07,subscription,ratable,632.72,2530.83,EUR,Acme EU GmbH,4000-Subscription-Rev,scheduled
REV-000029,CTR-00005,INV-000014,CUST-0003,2026-08,subscription,ratable,632.72,1898.11,EUR,Acme EU GmbH,4000-Subscription-Rev,scheduled
REV-000030,CTR-00005,INV-000014,CUST-0003,2026-09,subscription,ratable,632.72,1265.39,EUR,Acme EU GmbH,4000-Subscription-Rev,scheduled
REV-000031,CTR-00005,INV-000014,CUST-0003,2026-10,subscription,ratable,632.72,632.67,EUR,Acme EU GmbH,4000-Subscription-Rev,scheduled
REV-000032,CTR-00005,INV-000014,CUST-0003,2026-11,subscription,ratable,632.72,0.0,EUR,Acme EU GmbH,4000-Subscription-Rev,scheduled
REV-000033,CTR-00006,INV-000015,CUST-0003,2026-02,subscription,ratable,532.41,1064.81,EUR,Acme EU GmbH,4000-Subscription-Rev,recognized
REV-000034,CTR-00006,INV-000015,CUST-0003,2026-03,subscription,ratable,532.41,532.4,EUR,Acme EU GmbH,4000-Subscription-Rev,recognized
REV-000035,CTR-00006,INV-000015,CUST-0003,2026-04,subscription,ratable,532.41,0.0,EUR,Acme EU GmbH,4000-Subscription-Rev,recognized
REV-000036,CTR-00006,INV-000016,CUST-0003,2026-05,subscription,ratable,532.41,1064.81,EUR,Acme EU GmbH,4000-Subscription-Rev,recognized
REV-000037,CTR-00006,INV-000016,CUST-0003,2026-06,subscription,ratable,532.41,532.4,EUR,Acme EU GmbH,4000-Subscription-Rev,scheduled
REV-000038,CTR-00006,INV-000016,CUST-0003,2026-07,subscription,ratable,532.41,0.0,EUR,Acme EU GmbH,4000-Subscription-Rev,scheduled
REV-000039,CTR-00007,INV-000017,CUST-0004,2025-11,usage,point_in_time,27772.14,0.0,USD,Acme US Inc,4100-Usage-Rev,recognized
REV-000040,CTR-00007,INV-000018,CUST-0004,2025-12,usage,point_in_time,29063.06,0.0,USD,Acme US Inc,4100-Usage-Rev,recognized
