order_id,contract_id,opportunity_id,customer_id,order_date,service_start_date,service_end_date,order_amount,currency,legal_entity,product_line,order_status,billing_block_flag,billing_block_reason,tax_code,po_number,source_system
SO-00001,CTR-00002,OPP-00007,CUST-0002,2026-03-31,2026-03-31,2029-02-28,104100.0,USD,Acme US Inc,SaaS Subscription,active,0,,US-Sales-Tax,,ERP
SO-00002,CTR-00003,OPP-00008,CUST-0002,2025-07-31,2025-07-31,2026-06-30,27600.0,USD,Acme US Inc,SaaS Subscription,active,0,,US-Sales-Tax,,ERP
SO-00003,CTR-00004,OPP-00009,CUST-0002,2025-07-31,2025-07-31,2027-06-30,60200.0,USD,Acme US Inc,SaaS Subscription,active,0,,US-Sales-Tax,,ERP
SO-00004,CTR-00005,OPP-00011,CUST-0003,2025-12-31,2025-12-31,2028-11-30,22777.78,EUR,Acme EU GmbH,SaaS Subscription,active,0,,EU-VAT,,ERP
SO-00005,CTR-00006,OPP-00012,CUST-0003,2026-02-28,2026-02-28,2028-01-28,12777.78,EUR,Acme EU GmbH,SaaS Subscription,active,0,,EU-VAT,,ERP
SO-00006,CTR-00007,OPP-00016,CUST-0004,2025-10-31,2025-10-31,2028-09-30,303200.0,USD,Acme US Inc,Usage-Based,active,0,,US-Sales-Tax,PO-62926,ERP
SO-00007,CTR-00008,OPP-00017,CUST-0004,2025-07-31,2025-07-31,2027-06-30,342500.0,USD,Acme US Inc,Professional Services,cancelled,0,,US-Sales-Tax,PO-30285,ERP
SO-00008,CTR-00009,OPP-00019,CUST-0004,2025-08-31,2025-08-31,2026-07-31,351300.0,USD,Acme US Inc,Usage-Based,fulfilled,0,,US-Sales-Tax,PO-65769,ERP
SO-00009,CTR-00010,OPP-00021,CUST-0005,2025-08-31,2025-08-31,2026-07-31,25200.0,USD,Acme US Inc,Professional Services,active,0,,US-Sales-Tax,,ERP
SO-00010,CTR-00012,OPP-00023,CUST-0005,2025-08-31,2025-08-31,2026-07-31,79900.0,USD,Acme US Inc,Implementation,fulfilled,0,,US-Sales-Tax,,ERP
SO-00011,CTR-00014,OPP-00030,CUST-0006,2025-07-31,2025-07-31,2027-06-30,16400.0,USD,Acme US Inc,Professional Services,active,0,,US-Sales-Tax,,ERP
SO-00012,CTR-00015,OPP-00032,CUST-0007,2025-06-30,2025-06-30,2028-05-30,50500.0,USD,Acme US Inc,Usage-Based,fulfilled,0,,US-Sales-Tax,,ERP
SO-00013,CTR-00016,OPP-00033,CUST-0007,2025-05-31,2025-05-31,2028-04-30,173500.0,USD,Acme US Inc,Usage-Based,fulfilled,0,,US-Sales-Tax,,ERP
SO-00014,CTR-00017,OPP-00035,CUST-0008,2025-08-31,2025-08-31,2028-07-31,76481.48,EUR,Acme EU GmbH,Professional Services,fulfilled,0,,EU-VAT,PO-77219,ERP
SO-00015,CTR-00018,OPP-00039,CUST-0009,2026-03-31,2026-03-31,2027-02-28,2352222.22,EUR,Acme EU GmbH,Usage-Based,active,0,,EU-VAT,PO-33210,ERP
SO-00016,CTR-00020,OPP-00043,CUST-0010,2026-01-31,2026-01-31,2027-12-31,14000.0,USD,Acme US Inc,SaaS Subscription,cancelled,0,,US-Sales-Tax,PO-81219,ERP
