invoice_id,order_id,contract_id,customer_id,invoice_date,due_date,invoice_amount,tax_amount,total_invoice_amount,currency,legal_entity,invoice_status,payment_terms,po_number,service_period_start,service_period_end,gl_ar_account,gl_revenue_account,source_system
INV-000001,SO-00001,CTR-00001,CUST-0001,2026-05-30,2026-06-29,1082416.67,184010.83,1266427.5,BRL,Acme Brasil Ltda,paid,NET30,PO-40127,2026-05-30,2026-06-30,1200-AR,4000-Subscription-Rev,ERP
INV-000002,SO-00001,CTR-00001,CUST-0001,2026-06-30,2026-07-30,1082416.67,184010.83,1266427.5,BRL,Acme Brasil Ltda,open,NET30,PO-40127,2026-06-30,2026-07-30,1200-AR,4000-Subscription-Rev,ERP
INV-000003,SO-00002,CTR-00002,CUST-0001,2025-04-30,2025-05-30,3672250.0,624282.5,4296532.5,BRL,Acme Brasil Ltda,paid,NET30,PO-25246,2025-04-30,2025-05-30,1200-AR,4200-Services-Rev,ERP
INV-000004,SO-00002,CTR-00002,CUST-0001,2025-05-30,2025-06-29,3672250.0,624282.5,4296532.5,BRL,Acme Brasil Ltda,paid,NET30,PO-25246,2025-05-30,2025-06-30,1200-AR,4200-Services-Rev,ERP
INV-000005,SO-00003,CTR-00004,CUST-0001,2026-04-30,2026-05-30,656166.67,111548.33,767715.0,BRL,Acme Brasil Ltda,paid,NET30,PO-86237,2026-04-30,2026-05-30,1200-AR,4200-Services-Rev,ERP
INV-000006,SO-00003,CTR-00004,CUST-0001,2026-05-30,2026-06-29,656166.67,111548.33,767715.0,BRL,Acme Brasil Ltda,open,NET30,PO-86237,2026-05-30,2026-06-30,1200-AR,4200-Services-Rev,ERP
INV-000007,SO-00003,CTR-00004,CUST-0001,2026-06-30,2026-07-30,656166.67,111548.33,767715.0,BRL,Acme Brasil Ltda,open,NET30,PO-86237,2026-06-30,2026-07-30,1200-AR,4200-Services-Rev,ERP
INV-000008,SO-00004,CTR-00005,CUST-0001,2025-07-30,2025-08-29,8411500.0,1429955.0,9841455.0,BRL,Acme Brasil Ltda,paid,NET30,PO-48081,2025-07-30,2025-08-30,1200-AR,4200-Services-Rev,ERP
INV-000009,SO-00005,CTR-00006,CUST-0002,2026-06-30,2026-07-30,5787.77,0.0,5787.77,USD,Acme US Inc,open,NET30,,2026-06-30,2026-09-30,1200-AR,4100-Usage-Rev,ERP
INV-000010,SO-00006,CTR-00007,CUST-0002,2025-03-30,2025-04-29,22800.0,0.0,22800.0,USD,Acme US Inc,paid,NET30,,2025-03-30,2025-04-30,1200-AR,4200-Services-Rev,ERP
INV-000011,SO-00007,CTR-00008,CUST-0002,2025-08-30,2025-09-29,30964.45,0.0,30964.45,USD,Acme US Inc,paid,NET30,,2025-08-30,2026-08-30,1200-AR,4100-Usage-Rev,ERP
INV-000012,SO-00008,CTR-00009,CUST-0003,2026-06-30,2026-08-14,2604.04,0.0,2604.04,USD,Acme US Inc,open,NET45,,2026-06-30,2026-07-30,1200-AR,4100-Usage-Rev,ERP
INV-000013,SO-00009,CTR-00010,CUST-0003,2026-04-30,2026-06-14,1596.04,0.0,1596.04,USD,Acme US Inc,open,NET45,,2026-04-30,2026-05-30,1200-AR,4100-Usage-Rev,ERP
INV-000014,SO-00009,CTR-00010,CUST-0003,2026-05-30,2026-07-14,1716.64,0.0,1716.64,USD,Acme US Inc,open,NET45,,2026-05-30,2026-06-30,1200-AR,4100-Usage-Rev,ERP
INV-000015,SO-00009,CTR-00010,CUST-0003,2026-06-30,2026-08-14,1894.21,0.0,1894.21,USD,Acme US Inc,open,NET45,,2026-06-30,2026-07-30,1200-AR,4100-Usage-Rev,ERP
INV-000016,SO-00010,CTR-00012,CUST-0005,2026-06-30,2026-08-14,1722.98,344.6,2067.58,EUR,Acme EU GmbH,open,NET45,PO-62921,2026-06-30,2026-07-30,1200-AR,4100-Usage-Rev,ERP
INV-000017,SO-00011,CTR-00013,CUST-0005,2025-11-30,2026-01-14,1172.84,234.57,1407.41,EUR,Acme EU GmbH,paid,NET45,PO-77896,2025-11-30,2025-12-30,1200-AR,4200-Services-Rev,ERP
INV-000018,SO-00011,CTR-00013,CUST-0005,2025-12-30,2026-02-13,1172.84,234.57,1407.41,EUR,Acme EU GmbH,paid,NET45,PO-77896,2025-12-30,2026-01-30,1200-AR,4200-Services-Rev,ERP
INV-000019,SO-00011,CTR-00013,CUST-0005,2026-01-30,2026-03-16,1172.84,234.57,1407.41,EUR,Acme EU GmbH,paid,NET45,PO-77896,2026-01-30,2026-02-28,1200-AR,4200-Services-Rev,ERP
INV-000020,SO-00012,CTR-00015,CUST-0006,2026-06-30,2026-08-14,353758.68,70751.74,424510.42,GBP,Acme UK Ltd,open,NET45,,2026-06-30,2026-09-30,1200-AR,4100-Usage-Rev,ERP
INV-000021,SO-00013,CTR-00016,CUST-0007,2025-08-30,2025-09-14,14150.0,0.0,14150.0,USD,Acme US Inc,open,NET15,,2025-08-30,2025-09-30,1200-AR,4200-Services-Rev,ERP
INV-000022,SO-00013,CTR-00016,CUST-0007,2025-09-30,2025-10-15,14150.0,0.0,14150.0,USD,Acme US Inc,paid,NET15,,2025-09-30,2025-10-30,1200-AR,4200-Services-Rev,ERP
INV-000023,SO-00014,CTR-00017,CUST-0007,2025-07-30,2025-08-14,11025.0,0.0,11025.0,USD,Acme US Inc,paid,NET15,,2025-07-30,2025-08-30,1200-AR,4000-Subscription-Rev,ERP
INV-000024,SO-00014,CTR-00017,CUST-0007,2025-08-30,2025-09-14,11025.0,0.0,11025.0,USD,Acme US Inc,paid,NET15,,2025-08-30,2025-09-30,1200-AR,4000-Subscription-Rev,ERP
INV-000025,SO-00014,CTR-00017,CUST-0007,2025-09-30,2025-10-15,11025.0,0.0,11025.0,USD,Acme US Inc,paid,NET15,,2025-09-30,2025-10-30,1200-AR,4000-Subscription-Rev,ERP
INV-000026,SO-00014,CTR-00017,CUST-0007,2025-10-30,2025-11-14,11025.0,0.0,11025.0,USD,Acme US Inc,paid,NET15,,2025-10-30,2025-11-30,1200-AR,4000-Subscription-Rev,ERP
INV-000027,SO-00014,CTR-00017,CUST-0007,2025-11-30,2025-12-15,11025.0,0.0,11025.0,USD,Acme US Inc,paid,NET15,,2025-11-30,2025-12-30,1200-AR,4000-Subscription-Rev,ERP
INV-000028,SO-00014,CTR-00017,CUST-0007,2025-12-30,2026-01-14,11025.0,0.0,11025.0,USD,Acme US Inc,paid,NET15,,2025-12-30,2026-01-30,1200-AR,4000-Subscription-Rev,ERP
INV-000029,SO-00014,CTR-00017,CUST-0007,2026-01-30,2026-02-14,11025.0,0.0,11025.0,USD,Acme US Inc,paid,NET15,,2026-01-30,2026-02-28,1200-AR,4000-Subscription-Rev,ERP
INV-000030,SO-00014,CTR-00017,CUST-0007,2026-02-28,2026-03-15,11025.0,0.0,11025.0,USD,Acme US Inc,paid,NET15,,2026-02-28,2026-03-28,1200-AR,4000-Subscription-Rev,ERP
INV-000031,SO-00014,CTR-00017,CUST-0007,2026-03-28,2026-04-12,11025.0,0.0,11025.0,USD,Acme US Inc,paid,NET15,,2026-03-28,2026-04-28,1200-AR,4000-Subscription-Rev,ERP
INV-000032,SO-00014,CTR-00017,CUST-0007,2026-04-28,2026-05-13,11025.0,0.0,11025.0,USD,Acme US Inc,paid,NET15,,2026-04-28,2026-05-28,1200-AR,4000-Subscription-Rev,ERP
INV-000033,SO-00014,CTR-00017,CUST-0007,2026-05-28,2026-06-12,11025.0,0.0,11025.0,USD,Acme US Inc,open,NET15,,2026-05-28,2026-06-28,1200-AR,4000-Subscription-Rev,ERP
INV-000034,SO-00014,CTR-00017,CUST-0007,2026-06-28,2026-07-13,11025.0,0.0,11025.0,USD,Acme US Inc,open,NET15,,2026-06-28,2026-07-28,1200-AR,4000-Subscription-Rev,ERP
INV-000035,SO-00015,CTR-00018,CUST-0007,2026-02-28,2026-03-15,17600.0,0.0,17600.0,USD,Acme US Inc,paid,NET15,,2026-02-28,2026-05-28,1200-AR,4000-Subscription-Rev,ERP
INV-000036,SO-00015,CTR-00018,CUST-0007,2026-05-28,2026-06-12,17600.0,0.0,17600.0,USD,Acme US Inc,paid,NET15,,2026-05-28,2026-08-28,1200-AR,4000-Subscription-Rev,ERP
INV-000037,SO-00016,CTR-00020,CUST-0007,2025-07-30,2025-08-14,22100.0,0.0,22100.0,USD,Acme US Inc,paid,NET15,,2025-07-30,2025-08-30,1200-AR,4300-Implementation-Rev,ERP
INV-000038,SO-00017,CTR-00022,CUST-0008,2026-03-30,2026-04-29,2859814.4,0.0,2859814.4,USD,Acme US Inc,paid,NET30,,2026-03-30,2027-03-30,1200-AR,4100-Usage-Rev,ERP
INV-000039,SO-00018,CTR-00023,CUST-0009,2026-04-30,2026-05-30,423070.86,84614.17,507685.03,GBP,Acme UK Ltd,paid,NET30,PO-83154,2026-04-30,2026-07-30,1200-AR,4000-Subscription-Rev,ERP
INV-000040,SO-00019,CTR-00028,CUST-0011,2025-07-30,2025-09-28,515151.51,108181.82,623333.33,ARS,Acme Argentina SA,paid,NET60,,2025-07-30,2025-08-30,1200-AR,4000-Subscription-Rev,ERP
INV-000041,SO-00019,CTR-00028,CUST-0011,2025-08-30,2025-10-29,515151.51,108181.82,623333.33,ARS,Acme Argentina SA,paid,NET60,,2025-08-30,2025-09-30,1200-AR,4000-Subscription-Rev,ERP
INV-000042,SO-00019,CTR-00028,CUST-0011,2025-09-30,2025-11-29,515151.51,108181.82,623333.33,ARS,Acme Argentina SA,paid,NET60,,2025-09-30,2025-10-30,1200-AR,4000-Subscription-Rev,ERP
INV-000043,SO-00019,CTR-00028,CUST-0011,2025-10-30,2025-12-29,515151.51,108181.82,623333.33,ARS,Acme Argentina SA,paid,NET60,,2025-10-30,2025-11-30,1200-AR,4000-Subscription-Rev,ERP
INV-000044,SO-00019,CTR-00028,CUST-0011,2025-11-30,2026-01-29,515151.51,108181.82,623333.33,ARS,Acme Argentina SA,paid,NET60,,2025-11-30,2025-12-30,1200-AR,4000-Subscription-Rev,ERP
INV-000045,SO-00019,CTR-00028,CUST-0011,2025-12-30,2026-02-28,515151.51,108181.82,623333.33,ARS,Acme Argentina SA,paid,NET60,,2025-12-30,2026-01-30,1200-AR,4000-Subscription-Rev,ERP
INV-000046,SO-00019,CTR-00028,CUST-0011,2026-01-30,2026-03-31,515151.51,108181.82,623333.33,ARS,Acme Argentina SA,paid,NET60,,2026-01-30,2026-02-28,1200-AR,4000-Subscription-Rev,ERP
INV-000047,SO-00019,CTR-00028,CUST-0011,2026-02-28,2026-04-29,515151.51,108181.82,623333.33,ARS,Acme Argentina SA,open,NET60,,2026-02-28,2026-03-28,1200-AR,4000-Subscription-Rev,ERP
INV-000048,SO-00019,CTR-00028,CUST-0011,2026-03-28,2026-05-27,515151.51,108181.82,623333.33,ARS,Acme Argentina SA,paid,NET60,,2026-03-28,2026-04-28,1200-AR,4000-Subscription-Rev,ERP
INV-000049,SO-00019,CTR-00028,CUST-0011,2026-04-28,2026-06-27,515151.51,108181.82,623333.33,ARS,Acme Argentina SA,paid,NET60,,2026-04-28,2026-05-28,1200-AR,4000-Subscription-Rev,ERP
INV-000050,SO-00019,CTR-00028,CUST-0011,2026-05-28,2026-07-27,515151.51,108181.82,623333.33,ARS,Acme Argentina SA,open,NET60,,2026-05-28,2026-06-28,1200-AR,4000-Subscription-Rev,ERP
INV-000051,SO-00019,CTR-00028,CUST-0011,2026-06-28,2026-08-27,515151.51,108181.82,623333.33,ARS,Acme Argentina SA,open,NET60,,2026-06-28,2026-07-28,1200-AR,4000-Subscription-Rev,ERP
INV-000052,SO-00020,CTR-00029,CUST-0011,2025-09-30,2025-11-29,1481779.27,311173.65,1792952.92,ARS,Acme Argentina SA,paid,NET60,,2025-09-30,2025-10-30,1200-AR,4100-Usage-Rev,ERP
INV-000053,SO-00020,CTR-00029,CUST-0011,2025-10-30,2025-12-29,1892029.74,397326.25,2289355.99,ARS,Acme Argentina SA,paid,NET60,,2025-10-30,2025-11-30,1200-AR,4100-Usage-Rev,ERP
INV-000054,SO-00020,CTR-00029,CUST-0011,2025-11-30,2026-01-29,2516668.61,528500.41,3045169.02,ARS,Acme Argentina SA,paid,NET60,,2025-11-30,2025-12-30,1200-AR,4100-Usage-Rev,ERP
INV-000055,SO-00020,CTR-00029,CUST-0011,2025-12-30,2026-02-28,2362565.59,496138.77,2858704.36,ARS,Acme Argentina SA,paid,NET60,,2025-12-30,2026-01-30,1200-AR,4100-Usage-Rev,ERP
