period,customer_id,contract_id,legal_entity,currency,opening_deferred_revenue,billings,recognized_revenue,adjustments,fx_impact,closing_deferred_revenue
2026-07,CUST-004,CON-001,BLEND360-MX,MXN,0,5080,5080,0,0,0
2026-07,CUST-007,CON-002,BLEND360-US,USD,0,4000,4000,0,0,0
2026-07,CUST-010,CON-003,BLEND360-MX,MXN,0,3000,3000,0,0,0
2026-07,CUST-013,CON-004,BLEND360-US,USD,0,5000,5000,0,0,0
2026-07,CUST-016,CON-005,BLEND360-MX,MXN,0,2000,2000,0,0,0
2026-07,CUST-019,CON-006,BLEND360-US,USD,0,1500,1500,0,0,0
2026-07,CUST-022,CON-007,BLEND360-MX,MXN,0,2000,2000,0,0,0
2026-07,CUST-025,CON-008,BLEND360-US,USD,0,0,0,0,0,0
2026-07,CUST-003,CON-009,BLEND360-BR,BRL,0,3000,3000,0,0,0
2026-07,CUST-006,CON-010,BLEND360-EU,EUR,0,1500,1500,0,0,0
2026-07,CUST-009,CON-011,BLEND360-BR,BRL,0,1500,1500,0,0,0
2026-07,CUST-012,CON-012,BLEND360-EU,EUR,0,3000,3000,0,0,0
2026-07,CUST-015,CON-013,BLEND360-BR,BRL,0,4000,4000,0,0,0
2026-07,CUST-021,CON-014,BLEND360-BR,BRL,0,5000,5000,0,0,0
2026-07,CUST-024,CON-015,BLEND360-EU,EUR,0,0,0,0,0,0
2026-07,CUST-002,CON-016,BLEND360-AR,ARS,0,4000,4000,0,0,0
2026-07,CUST-005,CON-017,BLEND360-UK,GBP,0,1500,1500,0,0,0
2026-07,CUST-008,CON-018,BLEND360-AR,ARS,0,0,0,0,0,0
