entity_id,period,account_code,amount_local
US,2026-05,1000,2749182.69
US,2026-05,1100,863534.24
US,2026-05,1500,350000.0
US,2026-05,2000,287844.75
US,2026-05,2500,1055430.74
US,2026-05,3000,9000000.0
US,2026-05,3900,-6380558.56
UK,2026-05,1000,927849.16
UK,2026-05,1100,291442.81
UK,2026-05,1500,118125.0
UK,2026-05,2000,97147.6
UK,2026-05,2500,356207.87
UK,2026-05,3000,3037500.0
UK,2026-05,3900,-2153438.51
DE,2026-05,1000,945718.85
DE,2026-05,1100,297055.78
DE,2026-05,1500,120400.0
DE,2026-05,2000,99018.59
DE,2026-05,2500,363068.17
DE,2026-05,3000,3096000.0
DE,2026-05,3900,-2194912.14
BR,2026-05,1000,4214497.06
BR,2026-05,1100,1323797.99
BR,2026-05,1500,536550.0
BR,2026-05,2000,441266.0
BR,2026-05,2500,1617975.32
BR,2026-05,3000,13797000.0
BR,2026-05,3900,-9781396.27
AR,2026-05,1000,613617576.18
AR,2026-05,1100,192740842.51
AR,2026-05,1500,78120000.0
AR,2026-05,2000,64246947.5
AR,2026-05,2500,235572140.85
AR,2026-05,3000,2008800000.0
AR,2026-05,3900,-1424140669.66
IN,2026-05,1000,65361818.43
IN,2026-05,1100,20530526.57
IN,2026-05,1500,8321250.0
IN,2026-05,2000,6843508.86
IN,2026-05,2500,25092865.81
IN,2026-05,3000,213975000.0
IN,2026-05,3900,-151697779.67
